,제품번호,물품명,물품대대분류,물품대분류,물품중분류,상품중량
0,100021V2_0,2단무늬컵,비식품,식기/편백,자기,1p
1,100022V2_1,7곡딸기롤과자,가공식품,과자,스낵,100g/10개입
2,100023V2_2,7곡참식,가공식품,식사대용,선식/생식,700g
3,100024V2_3,가리비,신선식품,생물수산,패류/갑각류,1.5kg
4,100025V2_3,가리비,신선식품,생물수산,패류/갑각류,1kg
5,100026V2_4,가마솥3인용,비식품,식기/편백,옹기,
6,100027V2_5,가마솥5인용,비식품,식기/편백,옹기,
7,100028V2_6,가브리살,신선식품,중량(정육),돼지(중량),무항생제-성남용인
8,100029V2_7,가브리살-성남용인,신선식품,중량(정육),돼지(중량),
9,1000210V2_8,가시복분자원액,가공식품,음료,발효음료,병:700ml
10,1000211V2_9,가시복분자즙,가공식품,음료,과즙,100ml*10봉
11,1000212V2_9,가시복분자즙,가공식품,음료,과즙,100ml*20봉
12,1000213V2_9,가시복분자즙,가공식품,음료,과즙,100ml/1봉
13,1000214V2_10,가시오이,신선식품,열매채소,가시오이,2개
14,1000215V2_11,가자미,신선식품,냉동수산,냉동생선,2~4마리/300g
15,1000216V2_12,가지,신선식품,열매채소,가지,2개
16,1000217V2_12,가지,신선식품,열매채소,가지,4개
17,1000218V2_12,가지,신선식품,열매채소,가지,토종:2개
18,1000219V2_13,가지말림,가공식품,말린나물/건재,가지말림,100g
19,1000220V2_14,각굴,신선식품,생물수산,패류/갑각류,까지않은굴/2.5kg
20,1000221V2_15,간고등어살,신선식품,냉동수산,냉동생선,3쪽/240g
21,1000222V2_15,간고등어살,신선식품,냉동수산,냉동생선,대/2쪽/300g
22,1000223V2_15,간고등어살,신선식품,냉동수산,냉동생선,특/2쪽/400g
23,1000224V2_16,간삼치살,신선식품,냉동수산,냉동생선,2쪽/400g
24,1000225V2_17,간임연수어,신선식품,냉동수산,냉동생선,2~3마리/350g
25,1000226V2_18,간장꽃게장,가공식품,수산가공,게장/게살,2마리/400g
26,1000227V2_18,간장꽃게장,가공식품,수산가공,게장/게살,2마리/500g
27,1000228V2_19,간장샐러드소스,가공식품,소스/기타양념,소스,220ml
28,1000229V2_20,간장소스순살닭강정,가공식품,육가공,돈가스/분쇄가공,"강정400g,소스110g"
29,1000230V2_21,간편한상 매콤주꾸미,가공식품,수산가공,수산가공반찬,300g
30,1000231V2_22,갈매기살,신선식품,중량(정육),돼지(중량),무항생제-성남용인
31,1000232V2_23,갈매기살-성남용인,신선식품,중량(정육),돼지(중량),
32,1000233V2_24,갈색만가닥버섯,신선식품,버섯,만가닥버섯,150g
33,1000234V2_24,갈색만가닥버섯,신선식품,버섯,만가닥버섯,300g
34,1000235V2_25,갈색양송이버섯,신선식품,버섯,양송이버섯,140g
35,1000236V2_25,갈색양송이버섯,신선식품,버섯,양송이버섯,300g
36,1000237V2_26,갈치,신선식품,냉동수산,냉동생선,200g
37,1000238V2_26,갈치,신선식품,냉동수산,냉동생선,300g
38,1000239V2_27,갈치선물,신선식품,냉동수산,냉동생선,1마리/소분용
39,1000240V2_28,갈치선물모음,신선식품,냉동수산,냉동생선,3마리
40,1000241V2_29,감귤/비가림,신선식품,과일,귤(비가림),유:3kg
41,1000242V2_30,감귤/비가림/유,신선식품,과일,귤(비가림),1.5kg
42,1000243V2_31,감귤/세미놀,신선식품,과일,귤만감,유:2kg
43,1000244V2_32,감귤/진홍,신선식품,과일,귤만감,무:1.5kg
44,1000245V2_33,감귤/진홍/소과/,신선식품,과일,귤만감,무:1.5kg
45,1000246V2_34,감귤/청로,신선식품,과일,귤만감,유:2kg
46,1000247V2_35,감귤꽁꽁,가공식품,음료,빙과,120ml
47,1000248V2_36,감귤즙,가공식품,음료,과즙,150ml
48,1000249V2_36,감귤즙,가공식품,음료,과즙,150ml*10개
49,1000250V2_36,감귤즙,가공식품,음료,과즙,620ml
50,1000251V2_36,감귤즙,가공식품,음료,과즙,유기/150ml
51,1000252V2_36,감귤즙,가공식품,음료,과즙,유기/150ml*10봉
52,1000253V2_37,감말랭이,신선식품,과일,곶감,300g
53,1000254V2_38,감식초,가공식품,기름/식초,식초,375ml
54,1000255V2_38,감식초,가공식품,기름/식초,식초,700ml
55,1000256V2_39,감식초&개복숭아원액모음,가공식품,음료,음료기타,
56,1000257V2_40,감잎차,가공식품,차,잎꽃차,30g
57,1000258V2_41,감잎차선물모음,가공식품,차,잎꽃차,
58,1000259V2_42,감자라면,가공식품,밀가공,라면,110g:1봉
59,1000260V2_42,감자라면,가공식품,밀가공,라면,1묶음:4봉
60,1000261V2_42,감자라면,가공식품,밀가공,라면,1묶음:4봉-쿠폰북행사
61,1000262V2_42,감자라면,가공식품,밀가공,라면,1상자:20봉
62,1000263V2_42,감자라면,가공식품,밀가공,라면,1상자:6묶음
63,1000264V2_43,감자바게트,신선식품,빵,건강곡물빵,180g/
64,1000265V2_44,감자쌀과자,가공식품,과자,스낵,32g
65,1000266V2_45,감자전분,가공식품,가루,과채가루,300g
66,1000267V2_46,감자칼국수,가공식품,밀가공,생숙면,600g
67,1000268V2_47,감태,신선식품,해조,기타해조류,300g
68,1000269V2_48,갓,신선식품,잎/줄기채소,갓,갓김치용:1kg
69,1000270V2_49,갓김치,신선식품,김치,기타채소,500g
70,1000271V2_50,갓끈동부,신선식품,열매채소,갓끈동부,200g
71,1000272V2_51,강낭콩,신선식품,열매채소,풋콩,1kg
72,1000273V2_52,개별절전멀티콘센트,비식품,생활용품,환경용품,2구/1.5m
73,1000274V2_52,개별절전멀티콘센트,비식품,생활용품,환경용품,4구/1.5m
74,1000275V2_53,개복숭아/2kg,신선식품,과일,개복숭아,
75,1000276V2_54,개복숭아감식초,가공식품,음료,음료기타,700ml
76,1000277V2_55,개복숭아감식초모음,가공식품,음료,음료기타,
77,1000278V2_56,개복숭아원액,가공식품,음료,발효음료,700ml
78,1000279V2_57,개조개,신선식품,생물수산,패류/갑각류,500g/2~3개
79,1000280V2_58,거품없는 세정제,비식품,세제/세안,살균/세정/탈취,주방ㆍ찌든때용
80,1000281V2_59,건강담은환선물모음,가공식품,건강일반,분말/환,
81,1000282V2_60,건강한호밀빵,신선식품,빵,건강곡물빵,200g/
82,1000283V2_61,건고추/유기재배/3kg,신선식품,양념채소,건고추,5근
83,1000284V2_62,건구기자/무,가공식품,차,곡류차,300g
84,1000285V2_63,건구기자/유,가공식품,차,곡류차,300g
85,1000286V2_64,건대추,신선식품,과일,건대추,500g
86,1000287V2_65,건대추/자주인증,신선식품,과일,건대추,500g
87,1000288V2_66,건도라지,가공식품,말린나물/건재,말린도라지,50g
88,1000289V2_67,건목이버섯,신선식품,버섯,목이버섯,20g
89,1000290V2_68,건붉은새우,가공식품,건어물,기타건어류,130g
90,1000291V2_69,건새우아욱국,가공식품,즉석조리,국.찌개,500g
91,1000292V2_70,건어선물모음,가공식품,건어물,기타건어류,
92,1000293V2_71,건여주,가공식품,건강일반,건강차,100g
93,1000294V2_72,건오미자,가공식품,차,곡류차,300g/유
94,1000295V2_73,검은콩낫토,가공식품,장,장류/기타,50g*2
95,1000296V2_74,검은콩두유,가공식품,음료,두유,160ml*20봉/선물
96,1000297V2_74,검은콩두유,가공식품,음료,두유,160ml*5봉
97,1000298V2_75,검정깨/국산,가공식품,콩/화본/깨,깨,300g
98,1000299V2_76,검정깨/무,가공식품,콩/화본/깨,깨,300g
99,10002100V2_77,검정깨/유,가공식품,콩/화본/깨,깨,300g
100,10002101V2_78,검정콩/국산,가공식품,콩/화본/깨,콩,500g
101,10002102V2_79,검정콩/유,가공식품,콩/화본/깨,콩,500g
102,10002103V2_80,검정콩세알,가공식품,과자,스낵,190g
103,10002104V2_81,겉껍질 깐밤,가공식품,견과,밤,200g
104,10002105V2_82,겨우살이차,가공식품,음료,건강차,40g*2봉
105,10002106V2_82,겨우살이차,가공식품,음료,건강차,80g
106,10002107V2_83,견과바,가공식품,과자,스낵,25g
107,10002108V2_84,결명자차,가공식품,차,곡류차,무/300g
108,10002109V2_85,계란탕솥,비식품,식기/편백,옹기,
109,10002110V2_86,고구마말랭이,가공식품,과자,엿/양갱/기타,80g
110,10002111V2_87,고구마묵,신선식품,어묵/묵,묵,370g
111,10002112V2_88,고구마부리토,가공식품,밀가공,피자/핫도그,92g
112,10002113V2_89,고구마순,신선식품,잎/줄기채소,고구마순,400g
113,10002114V2_90,고구마양갱,가공식품,과자,엿/양갱/기타,40g
114,10002115V2_91,고구마줄기말림,가공식품,말린나물/건재,고구마순말림(70g),70g
115,10002116V2_92,고구마찐빵,신선식품,빵,"찐빵,호떡,전통",360g/5개/
116,10002117V2_93,고구마케이크,신선식품,빵,"케이크,롤,선물",2호/700g
117,10002118V2_93,고구마케이크,신선식품,빵,"케이크,롤,선물",소/400g
118,10002119V2_94,고기만두,가공식품,밀가공,만두,1.5kg
119,10002120V2_94,고기만두,가공식품,밀가공,만두,500g
120,10002121V2_95,고기왕교자,가공식품,밀가공,만두,490g
121,10002122V2_96,고들빼기김치,신선식품,김치,기타채소,500g
122,10002123V2_97,고등어,신선식품,냉동수산,냉동생선,토막/500g
123,10002124V2_98,고수,신선식품,잎/줄기채소,기타,30g
124,10002125V2_99,고추부각,신선식품,밑반찬,부각/튀각,60g
125,10002126V2_100,고추소시지,가공식품,육가공,햄/소시지/훈제,230g-
126,10002127V2_101,고추장멸치볶음,신선식품,밑반찬,볶음,150g
127,10002128V2_102,고추장불고기양념,가공식품,소스/기타양념,기타양념,250g
128,10002129V2_103,고춧가루,가공식품,가루,고춧가루,양념용/500g
129,10002130V2_103,고춧가루,가공식품,가루,고춧가루,청양초/400g
130,10002131V2_103,고춧가루,가공식품,가루,고춧가루,토종/300g
131,10002132V2_104,고춧가루/유,가공식품,가루,고춧가루,2kg/양념용
132,10002133V2_105,고춧잎,신선식품,잎/줄기채소,고춧잎,200g
133,10002134V2_106,곡물쿠키믹스,가공식품,가루,프리믹스,250g*2봉
134,10002135V2_107,곡물플레이크,가공식품,식사대용,씨리얼,300g
135,10002136V2_108,곤드레나물,가공식품,말린나물/건재,곤드레나물/손질,냉동/400g
136,10002137V2_109,곤드레나물밥,가공식품,식사대용,식사대용/기타,300g
137,10002138V2_109,곤드레나물밥,가공식품,식사대용,식사대용/기타,624g
138,10002139V2_110,곤드레잎,신선식품,잎/줄기채소,곤드레잎,200g
139,10002140V2_111,곰돌이주머니,비식품,생활용품,기타생활용품,1장
140,10002141V2_112,곰취,신선식품,잎/줄기채소,곰취,100g
141,10002142V2_113,곰취말림,가공식품,말린나물/건재,기타,40g
142,10002143V2_114,곱게다진닭안심살,신선식품,닭/오리,무항생제닭,무항생제/100g
143,10002144V2_115,곱게다진대구살,신선식품,냉동수산,냉동생선,80g
144,10002145V2_116,곱게다진멸치,신선식품,냉동수산,기타냉동수산,80g
145,10002146V2_117,곱게다진새우살,신선식품,냉동수산,기타냉동수산,80g
146,10002147V2_118,곱게다진오징어,신선식품,냉동수산,기타냉동수산,80g
147,10002148V2_119,곱게다진한우순살,신선식품,소,유기한우,유기/200g
148,10002149V2_120,공심채,신선식품,잎/줄기채소,공심채,150g
149,10002150V2_121,곶감/고종시,신선식품,과일,곶감,유:12개
150,10002151V2_122,곶감/대봉,신선식품,과일,곶감,10개
151,10002152V2_123,곶감/대봉/무,신선식품,과일,곶감,10개
152,10002153V2_124,곶감/대봉/유기,신선식품,과일,곶감,10개
153,10002154V2_125,곶감/둥시,신선식품,과일,곶감,10개
154,10002155V2_125,곶감/둥시,신선식품,과일,곶감,30개
155,10002156V2_126,곶감/반건시,신선식품,과일,곶감,밀시감:500g
156,10002157V2_127,과일잼모음,가공식품,잼/병조림/기타,잼,4종
157,10002158V2_128,과일푸딩,가공식품,음료,푸딩,감귤:110g
158,10002159V2_128,과일푸딩,가공식품,음료,푸딩,딸기:110g
159,10002160V2_128,과일푸딩,가공식품,음료,푸딩,사과:110g
160,10002161V2_128,과일푸딩,가공식품,음료,푸딩,포도:110g
161,10002162V2_129,과자선물모음,가공식품,과자,스낵,
162,10002163V2_130,구기자환,가공식품,건강일반,분말/환,180g
163,10002164V2_131,구운고등어,가공식품,수산가공,수산가공반찬,100g
164,10002165V2_132,구운김밥김,신선식품,해조,김,10장
165,10002166V2_133,구운도시락김,신선식품,밑반찬,김가공,5g*3봉
166,10002167V2_133,구운도시락김,신선식품,밑반찬,김가공,5g*3봉-쿠폰북
167,10002168V2_134,구운돌김,신선식품,해조,김,15장
168,10002169V2_135,구운삼치,가공식품,수산가공,수산가공반찬,70g
169,10002170V2_136,구운유정란,신선식품,알,유정란,6알
170,10002171V2_137,구운자른김,신선식품,밑반찬,김가공,15g*3봉
171,10002172V2_138,구운전장김,신선식품,밑반찬,김가공,40g
172,10002173V2_139,구운전장김모음,신선식품,밑반찬,김가공,
173,10002174V2_140,구운참김,신선식품,해조,김,15장
174,10002175V2_141,구운파래참김,신선식품,해조,김,15장
175,10002176V2_142,구이갈비,신선식품,돼지,보리살림돼지,1kg/우리보리살림돼지
176,10002177V2_143,구이용삼치,신선식품,냉동수산,냉동생선,400g/1마리
177,10002178V2_143,구이용삼치,신선식품,냉동수산,대용량물품(냉동수산),1kg
178,10002179V2_144,구죽염가루,가공식품,소금,가공소금,100g
179,10002180V2_145,국물멸치,가공식품,건어물,멸치류,300g
180,10002181V2_146,국물멸치/상,가공식품,건어물,멸치류,300g
181,10002182V2_147,국물용황태대가리,가공식품,건어물,황태류,200g
182,10002183V2_148,국수기,비식품,식기/편백,옹기,
183,10002184V2_149,국화차,가공식품,차,잎꽃차,0.6g*20티백
184,10002185V2_149,국화차,가공식품,차,잎꽃차,유기/20g
185,10002186V2_150,국화차모음,가공식품,차,잎꽃차,"20g,0.6g*20티백"
186,10002187V2_151,군만두,가공식품,밀가공,만두,500g
187,10002188V2_152,굴비,신선식품,냉동수산,냉동생선,10마리/800g
188,10002189V2_152,굴비,신선식품,냉동수산,냉동생선,대/3마리/330g
189,10002190V2_152,굴비,신선식품,냉동수산,냉동생선,소/5마리/300g
190,10002191V2_152,굴비,신선식품,냉동수산,냉동생선,중/3마리/240g
191,10002192V2_152,굴비,신선식품,냉동수산,냉동생선,중/5마리/450g
192,10002193V2_153,굴비모음,신선식품,냉동수산,냉동생선,특/5마리/1.2kg
193,10002194V2_154,굴비모음1,신선식품,냉동수산,냉동생선,10마리/1.1kg
194,10002195V2_154,굴비모음1,신선식품,냉동수산,냉동생선,5마리/550g
195,10002196V2_155,굴비모음2,신선식품,냉동수산,냉동생선,10마리/1.3kg
196,10002197V2_156,굴비모음3,신선식품,냉동수산,냉동생선,10마리/1.7kg
197,10002198V2_157,굴소스,가공식품,소스/기타양념,소스,220ml
198,10002199V2_158,굵은소금,가공식품,소금,천일염,10kg
199,10002200V2_158,굵은소금,가공식품,소금,천일염,3kg
200,10002201V2_159,궁중팬/22㎝,비식품,식기/편백,스테인리스,
201,10002202V2_160,궁중팬/24㎝,비식품,식기/편백,스테인리스,
202,10002203V2_161,궁중팬/28㎝,비식품,식기/편백,스테인리스,
203,10002204V2_162,귀리,가공식품,콩/화본/깨,화본,국산/500g
204,10002205V2_162,귀리,가공식품,콩/화본/깨,화본,무/500g
205,10002206V2_163,귤/무,신선식품,과일,귤(조생),1.5kg
206,10002207V2_163,귤/무,신선식품,과일,귤(조생),3kg
207,10002208V2_163,귤/무,신선식품,과일,귤(조생),5kg
208,10002209V2_164,귤/유,신선식품,과일,귤(조생),1.5kg
209,10002210V2_164,귤/유,신선식품,과일,귤(조생),3kg
210,10002211V2_164,귤/유,신선식품,과일,귤(조생),5kg
211,10002212V2_165,그로우백,비식품,생활용품,숯/원예,미니/초록
212,10002213V2_165,그로우백,비식품,생활용품,숯/원예,열매채소용/초록
213,10002214V2_165,그로우백,비식품,생활용품,숯/원예,열매채소용/파랑
214,10002215V2_165,그로우백,비식품,생활용품,숯/원예,잎채소용/초록
215,10002216V2_165,그로우백,비식품,생활용품,숯/원예,잎채소용/파랑
216,10002217V2_166,근대,신선식품,잎/줄기채소,근대,300g
217,10002218V2_166,근대,신선식품,잎/줄기채소,근대,300g/채소꾸러미용
218,10002219V2_167,근대된장국,가공식품,즉석조리,국.찌개,500g
219,10002220V2_168,긁지말고 모물린,비식품,생활용품,기타생활용품,
220,10002221V2_169,"금귤/유,무",신선식품,과일,귤만감,500g
221,10002222V2_170,금산오미자원액,가공식품,음료,발효음료,700ml
222,10002223V2_171,금이버섯,신선식품,버섯,금이버섯,150g
223,10002224V2_172,기장,가공식품,콩/화본/깨,화본,국산/500g
224,10002225V2_173,기장/무,가공식품,콩/화본/깨,화본,150g
225,10002226V2_173,기장/무,가공식품,콩/화본/깨,화본,500g
226,10002227V2_174,기장/유,가공식품,콩/화본/깨,화본,500g
227,10002228V2_175,긴독1호,비식품,식기/편백,옹기,
228,10002229V2_176,긴독2호,비식품,식기/편백,옹기,
229,10002230V2_177,긴독3호,비식품,식기/편백,옹기,
230,10002231V2_178,긴석작꾸러미,가공식품,과자,한과/유과,1.3kg
231,10002232V2_179,김말이,가공식품,즉석조리,간편요리,500g
232,10002233V2_180,김밥용햄,가공식품,육가공,햄/소시지/훈제,285g
233,10002234V2_180,김밥용햄,가공식품,육가공,햄/소시지/훈제,285g-
234,10002235V2_181,김부각,신선식품,밑반찬,김가공,50g
235,10002236V2_182,김자반볶음,신선식품,밑반찬,김가공,40g
236,10002237V2_183,김장김치,신선식품,김치,배추,10kg
237,10002238V2_184,김장새우,신선식품,냉동수산,기타냉동수산,참새우/1kg
238,10002239V2_185,김장새우젓,가공식품,수산가공,젓갈/액젓,1.8kg
239,10002240V2_186,김치만두,가공식품,밀가공,만두,1.5kg
240,10002241V2_186,김치만두,가공식품,밀가공,만두,500g
241,10002242V2_187,김치왕교자,가공식품,밀가공,만두,490g
242,10002243V2_188,까나리액젓,가공식품,수산가공,젓갈/액젓,1kg
243,10002244V2_188,까나리액젓,가공식품,수산가공,젓갈/액젓,2.1kg
244,10002245V2_189,깍두기김치,신선식품,김치,무,1kg
245,10002246V2_189,깍두기김치,신선식품,김치,무,300g
246,10002247V2_190,깐녹두,가공식품,콩/화본/깨,콩,국산/500g
247,10002248V2_191,깐녹두/무,가공식품,콩/화본/깨,콩,500g
248,10002249V2_192,깐녹두/유,가공식품,콩/화본/깨,콩,500g
249,10002250V2_193,깐더덕,신선식품,뿌리채소,더덕/손질,200g
250,10002251V2_194,깐도라지,신선식품,뿌리채소,도라지/손질,150g
251,10002252V2_195,깐마늘/난지형/유,신선식품,양념채소,깐마늘,300g
252,10002253V2_196,깐밤,가공식품,견과,밤,150g
253,10002254V2_197,깐은행,가공식품,견과,은행,150g
254,10002255V2_198,깐쪽파,신선식품,양념채소,쪽파,200g
255,10002256V2_198,깐쪽파,신선식품,양념채소,쪽파,500g
256,10002257V2_199,깐호두,가공식품,견과,호두,140g
257,10002258V2_200,깐호두/선물용,가공식품,견과,호두,450g
258,10002259V2_201,깻단,신선식품,잎/줄기채소,깻단,250g
259,10002260V2_202,깻순,신선식품,잎/줄기채소,깻잎,200g
260,10002261V2_203,깻잎,신선식품,잎/줄기채소,깻잎,30장
261,10002262V2_204,깻잎절임김치,신선식품,김치,기타채소,200g
262,10002263V2_205,꼬마새송이버섯,신선식품,버섯,새송이버섯,300g
263,10002264V2_206,꼬마소시지,가공식품,육가공,햄/소시지/훈제,300g-
264,10002265V2_206,꼬마소시지,가공식품,육가공,햄/소시지/훈제,300g-쿠폰북행사
265,10002266V2_207,꼬마인절미,신선식품,떡,즉석떡,110g
266,10002267V2_208,꼬마찹쌀모나카,가공식품,과자,스낵,112g/8개
267,10002268V2_209,꼬마쿠키모음,가공식품,과자,쿠키,210g
268,10002269V2_210,꼬막새우살,신선식품,냉동수산,기타냉동수산,350g
269,10002270V2_211,꼬시래기,신선식품,해조,기타해조류,300g
270,10002271V2_212,꽁치,신선식품,냉동수산,냉동생선,3마리/250g
271,10002272V2_212,꽁치,신선식품,냉동수산,냉동생선,3마리/300g
272,10002273V2_213,꽁치과메기,신선식품,냉동수산,기타냉동수산,냉동/10마리/20쪽
273,10002274V2_213,꽁치과메기,신선식품,냉동수산,기타냉동수산,냉장/10마리/20쪽
274,10002275V2_214,꽃게,신선식품,생물수산,패류/갑각류,숫게/1kg
275,10002276V2_214,꽃게,신선식품,생물수산,패류/갑각류,암게/1kg
276,10002277V2_214,꽃게,신선식품,생물수산,패류/갑각류,암게/2kg
277,10002278V2_215,꽃등심로스-성남용인,신선식품,중량(정육),한우(중량),
278,10002279V2_216,꽃망울1인다기,비식품,식기/편백,자기,
279,10002280V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,남성/30봉*90ml
280,10002281V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,남성/60봉*90ml
281,10002282V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,수험생/30봉*90ml
282,10002283V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,수험생/60봉*90ml
283,10002284V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,어린이/30봉*90ml
284,10002285V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,어린이/60봉*90ml
285,10002286V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,여성/30봉*90ml
286,10002287V2_217,꽃사슴녹용액,가공식품,홍삼/녹용,녹용,여성/60봉*90ml
287,10002288V2_218,꽃송이상추,신선식품,쌈채소류,상추,200g
288,10002289V2_219,꽃잎1인다기,비식품,식기/편백,자기,
289,10002290V2_220,꽃찐빵,신선식품,빵,기타(냉동 등),330g:10개
290,10002291V2_220,꽃찐빵,신선식품,빵,기타(냉동 등),330g:10개/
291,10002292V2_221,꽈리고추,신선식품,열매채소,꽈리고추,100g
292,10002293V2_221,꽈리고추,신선식품,열매채소,꽈리고추,200g
293,10002294V2_222,꾸러기짱,가공식품,과자,스낵,90g
294,10002295V2_223,꾸리살-성남용인,신선식품,중량(정육),한우(중량),
295,10002296V2_224,꾸지뽕/냉동,신선식품,과일,냉동건조과일,유:2kg
296,10002297V2_225,꿀선물모음,가공식품,꿀,꿀,2종
297,10002298V2_226,꿀선물모음실속형,가공식품,꿀,꿀,2종
298,10002299V2_227,꿀을바른바삭한쌀스낵,가공식품,과자,스낵,80g
299,10002300V2_228,꿀카스텔라,신선식품,빵,"케이크,롤,선물",270g/
300,10002301V2_229,나박김치,신선식품,김치,무,1kg
301,10002302V2_230,날개파스타접시,비식품,식기/편백,자기,진사
302,10002303V2_231,남촌고급와인,가공식품,과실주,포도주,레드/750ml
303,10002304V2_231,남촌고급와인,가공식품,과실주,포도주,스위트/750ml
304,10002305V2_232,남촌고급와인모음,가공식품,과실주,포도주,2병
305,10002306V2_233,남촌포도주,가공식품,과실주,포도주,레드/700ml
306,10002307V2_233,남촌포도주,가공식품,과실주,포도주,스위트/700ml
307,10002308V2_234,남해바다 아귀포,가공식품,건어물,기타건어류,120g
308,10002309V2_235,남해바다 쥐치포,가공식품,건어물,기타건어류,120g
309,10002310V2_236,남해바다 학꽁치포,가공식품,건어물,기타건어류,120g
310,10002311V2_237,남해안생굴,신선식품,생물수산,패류/갑각류,150g
311,10002312V2_237,남해안생굴,신선식품,생물수산,패류/갑각류,500g
312,10002313V2_238,냉동굴,신선식품,냉동수산,냉동패류,350g
313,10002314V2_239,냉동단호박녹두송편,신선식품,떡,송편,500g
314,10002315V2_240,냉동동태알,신선식품,냉동수산,기타냉동수산,탕용/400g
315,10002316V2_241,냉동딸기,신선식품,과일채소,냉동딸기,500g
316,10002317V2_242,냉동떡국떡,신선식품,떡,가래떡,800g
317,10002318V2_243,냉동떡볶이떡,신선식품,떡,가래떡,500g
318,10002319V2_244,냉동메론,신선식품,과일채소,냉동메론,300g
319,10002320V2_245,냉동모듬찰떡,신선식품,떡,기타(냉동 등),80g*5종
320,10002321V2_246,냉동모시송편,신선식품,떡,송편,200g
321,10002322V2_247,냉동밀떡볶이떡,신선식품,떡,가래떡,500g
322,10002323V2_248,냉동백미깨송편,신선식품,떡,송편,500g
323,10002324V2_249,냉동블루베리,신선식품,과일,블루베리,500g
324,10002325V2_250,냉동산딸기,신선식품,과일,산딸기,250g
325,10002326V2_251,냉동쑥깨송편,신선식품,떡,송편,500g
326,10002327V2_252,냉동아로니아,신선식품,과일,냉동건조과일,1kg
327,10002328V2_253,냉동오디,신선식품,과일,냉동건조과일,500g
328,10002329V2_254,냉동치즈떡볶이떡,신선식품,떡,가래떡,300g
329,10002330V2_255,냉동현미떡국떡,신선식품,떡,가래떡,500g
330,10002331V2_256,냉동흑미건강떡,신선식품,떡,기타(냉동 등),80g*5봉
331,10002332V2_257,냉동흑미녹두송편,신선식품,떡,송편,500g
332,10002333V2_258,냉면기,비식품,식기/편백,자기,분청
333,10002334V2_259,냉면사리,가공식품,밀가공,생숙면,150gx3개
334,10002335V2_260,냉이,신선식품,잎/줄기채소,냉이,200g
335,10002336V2_261,냉장고용김칫독,비식품,식기/편백,옹기,소
336,10002337V2_262,냉장고탈취제,비식품,세제/세안,살균/세정/탈취,80g
337,10002338V2_263,너울국그릇모음,비식품,식기/편백,자기,4개
338,10002339V2_264,너울밥그릇모음,비식품,식기/편백,자기,4개
339,10002340V2_265,너울양념종지모음,비식품,식기/편백,자기,4개
340,10002341V2_266,너울찬기모음,비식품,식기/편백,자기,대/4개
341,10002342V2_266,너울찬기모음,비식품,식기/편백,자기,소/4개
342,10002343V2_266,너울찬기모음,비식품,식기/편백,자기,중/4개
343,10002344V2_267,네모난햄,가공식품,육가공,햄/소시지/훈제,500g-
344,10002345V2_268,노각오이,신선식품,열매채소,노각오이,400~700g:1개
345,10002346V2_268,노각오이,신선식품,열매채소,노각오이,700g이상:1개
346,10002347V2_269,노란콩쌀쿠키,가공식품,과자,쿠키,100g
347,10002348V2_270,노루궁뎅이버섯,신선식품,버섯,노루궁뎅이버섯,150g이상
348,10002349V2_270,노루궁뎅이버섯,신선식품,버섯,노루궁뎅이버섯,170g이상
349,10002350V2_271,녹두가루,가공식품,가루,곡식가루,300g
350,10002351V2_272,녹두전,가공식품,즉석조리,간편요리,300g
351,10002352V2_273,녹두전 반죽,가공식품,즉석조리,간편요리,500g
352,10002353V2_274,녹미/유,가공식품,유색미/발아미,유색미,1kg
353,10002354V2_275,녹차꿀카스텔라,신선식품,빵,"케이크,롤,선물",270g/
354,10002355V2_276,녹차롤케이크,신선식품,빵,"케이크,롤,선물",420g
355,10002356V2_277,녹차쿠키,가공식품,과자,쿠키,100g
356,10002357V2_278,녹차티백,가공식품,차,잎꽃차,1.2g*100티백
357,10002358V2_278,녹차티백,가공식품,차,잎꽃차,1.2g*20티백
358,10002359V2_279,농축토마토,가공식품,소스/기타양념,기타양념,250g
359,10002360V2_280,누룽지,가공식품,과자,스낵,300g
360,10002361V2_280,누룽지,가공식품,과자,스낵,500g
361,10002362V2_280,누룽지,가공식품,과자,스낵,소:90g
362,10002363V2_281,누에가루,가공식품,건강일반,분말/환,100g*2병
363,10002364V2_281,누에가루,가공식품,건강일반,분말/환,170g
364,10002365V2_282,누에환,가공식품,건강일반,분말/환,250g
365,10002366V2_283,눈개승마,가공식품,말린나물/건재,기타,삼나물말림/40g
366,10002367V2_284,느타리버섯,신선식품,버섯,느타리버섯,300g
367,10002368V2_285,느티나무 조리도구모음,비식품,식기/편백,편백,4종
368,10002369V2_286,느티나무 통원목도마,비식품,식기/편백,편백,대
369,10002370V2_286,느티나무 통원목도마,비식품,식기/편백,편백,소
370,10002371V2_286,느티나무 통원목도마,비식품,식기/편백,편백,중
371,10002372V2_287,늙은호박,신선식품,열매채소,늙은호박,극소:2~3kg
372,10002373V2_287,늙은호박,신선식품,열매채소,늙은호박,대:7-9kg
373,10002374V2_287,늙은호박,신선식품,열매채소,늙은호박,소:3-5kg
